code   No. of Channel  MaxSpan
==============================
0101    	2333          5
0103    	 438         25
0103A   	 438         25
010503  	  11         60
010505  	  11         60
010507  	  22         60
010509  	  54         60
010510  	  32         60
010511  	  26         60
010512  	  22         60
010514  	  22         60
0201    	 180         60
0202    	 160         60
0203    	 301         35
0204    	 202         59
0205    	  76         60
0206    	  13         60
0207    	  72         60
0208    	  28         60
0209    	  48         60
0301    	 869         13
030201  	   7		 60
030202  	  16		 60
030203  	   4		 60
030204  	  23		 60
030205  	  13		 60
030206  	   4		 60
030207  	  15		 60
030208  	  17		 60
030209  	   7		 60
030210  	   4		 60
030211  	   4		 60
030212  	  10		 60
030213  	   7		 60
030214  	   4		 60
030215  	   4		 60
030216  	   4		 60
030217  	  17		 60
030218  	   8		 60
030219  	  11		 60
030220  	   8		 60
030221  	   4		 60
030222  	   8		 60
030223  	  24		 60
030224  	   4		 60
030225  	   4		 60
030226  	   4		 60
030227  	   8		 60
030228  	   4		 60
030229  	  18		 60
030230  	   4		 60
030231  	  11		 60
030232  	  16		 60
030233  	   4		 60
030234  	   4		 60
030235  	  14		 60
030236  	   4		 60
030237  	   4		 60
030238  	   7		 60
030239  	   4		 60
030240  	  18		 60
030241  	  19		 60
030242  	  19		 60
030243  	  25		 60
030244  	   7		 60
030245  	  13		 60
030246  	   6		 60
030247  	   9		 60
0401    	  73		 60
0402    	 120		 60
0402A   	 120		 60
0501    	  81		 60
0601    	   6		 60
0701    	  54		 60
0702    	  39		 60
0703    	  15		 60
0705    	   3		 60
